"ROW_ID","REQUEST_ID","STATUS","MESSAGE","REQUEST_DATE","CURRENCY_CODE","RECEIPT_DATE","GL_DATE","EXCHANGE_DATE","EXCHANGE_RATE_TYPE","RECEIPT_METHOD_ID","RECEIPT_NUMBER","REMITTANCE_BACK_ACC_ID","DEPOSIT_DATE","CUSTOMER_ID","ORG_ID","AMOUNT","REGION","INTEG_MODE"
509213,35664,Success, ,2026-06-02 09:14:01.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518646,Visa-2912198,"300000016780609",2026-05-08 00:00:00.000,300000001545933,300000001421038,4386,SA,MANUAL
509212,35664,Success, ,2026-06-02 09:14:01.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518638,Cash-2912206,"300000056139991",2026-05-08 00:00:00.000,300000059418310,300000001421038,1572,SA,MANUAL
509211,35664,Success, ,2026-06-02 09:14:01.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518642,AMEX-2912209,"300000039834130",2026-05-08 00:00:00.000,300000040073247,300000001421038,160,SA,MANUAL
509209,35664,Success, ,2026-06-02 09:14:00.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518641,Mada-2912206,"300000056139967",2026-05-08 00:00:00.000,300000059418310,300000001421038,4999,SA,MANUAL
509208,35664,Success, ,2026-06-02 09:14:00.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518646,Visa-2912209,"300000039834130",2026-05-08 00:00:00.000,300000040073247,300000001421038,2860,SA,MANUAL
509207,35664,Success, ,2026-06-02 09:14:00.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518638,Cash-2912198,"300000001545566",2026-05-08 00:00:00.000,300000001545933,300000001421038,3583,SA,MANUAL
509206,35664,Success, ,2026-06-02 09:13:59.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518644,Master-2912209,"300000039834130",2026-05-08 00:00:00.000,300000040073247,300000001421038,1093,SA,MANUAL
509205,35664,Success, ,2026-06-02 09:13:59.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518641,Mada-2912198,"300000016780609",2026-05-08 00:00:00.000,300000001545933,300000001421038,7381,SA,MANUAL
509204,35664,Success, ,2026-06-02 09:13:58.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518638,Cash-2912209,"300000039834170",2026-05-08 00:00:00.000,300000040073247,300000001421038,1186,SA,MANUAL
509203,35664,Success, ,2026-06-02 09:13:58.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518641,Mada-2912209,"300000039834130",2026-05-08 00:00:00.000,300000040073247,300000001421038,4884,SA,MANUAL
